Ensembl.ID,Gene
ENSG00000186487,MYT1L
ENSG00000138029,HADHB
ENSG00000213699,SLC35F6
ENSG00000119844,AFTPH
ENSG00000132623,ANKEF1
ENSG00000089199,CHGB
ENSG00000172893,DHCR7
ENSG00000014216,CAPN1
ENSG00000168061,SAC3D1
ENSG00000169550,MUC15
ENSG00000166796,LDHC
ENSG00000154114,TBCEL
ENSG00000182985,Cadm1
ENSG00000185963,BICD2
ENSG00000119408,NEK6
ENSG00000119414,PPP6C
ENSG00000119383,PTPA
ENSG00000119383,PTPA
ENSG00000130560,UBAC1
ENSG00000076555,ACACB
ENSG00000128342,LIF
ENSG00000158270,COLEC12
ENSG00000104731,KLHDC4
ENSG00000103091,WDR59
ENSG00000168872,DDX19A
ENSG00000103061,SLC7A6OS
ENSG00000168676,KCTD19
ENSG00000153404,PLEKHG4
ENSG00000159398,CES5A
ENSG00000179820,MYADM
ENSG00000179919,OR10A7
ENSG00000168477,TNXB
ENSG00000069122,ADGRF5
ENSG00000125337,KIF25
ENSG00000142319,SLC6A3
ENSG00000145536,ADAMTS16
ENSG00000039560,RAI14
ENSG00000204764,RANBP17
ENSG00000169220,RGS14
ENSG00000145681,HAPLN1
ENSG00000122012,Sv2c
ENSG00000146005,PSD2
ENSG00000152700,SAR1B
ENSG00000053108,FSTL4
ENSG00000177879,AP3S1
ENSG00000141456,PELP1
ENSG00000072310,SREBF1
ENSG00000186395,KRT10
ENSG00000184988,TMEM106A
ENSG00000224383,PRR29
ENSG00000069188,SDK2
ENSG00000142611,PRDM16
ENSG00000116198,CEP104
ENSG00000025800,KPNA6
ENSG00000142949,PTPRF
ENSG00000162390,Acot11
ENSG00000006555,TTC22
ENSG00000149547,EI24
ENSG00000159409,CELF3
ENSG00000147601,TERF1
ENSG00000148498,PARD3
ENSG00000023697,DERA
ENSG00000151572,ANO4
ENSG00000169994,MYO7B
ENSG00000150551,LYPD1
ENSG00000115850,LCT
ENSG00000138448,ITGAV
ENSG00000173166,RAPH1
ENSG00000116120,FARSB
ENSG00000013374,NUB1
ENSG00000110427,KIAA1549
ENSG00000011426,ANLN
ENSG00000004948,CALCR
ENSG00000188730,VWC2
ENSG00000158683,PKD1L1
ENSG00000116604,MEF2D
ENSG00000116141,MARK1
ENSG00000196369,SRGAP2B
ENSG00000152104,PTPN14
ENSG00000198734,F5
ENSG00000162851,TFB2M
ENSG00000119979,FAM45A
ENSG00000148824,MTG1
ENSG00000120885,CLU
ENSG00000109466,KLHL2
ENSG00000198010,Dlgap2
ENSG00000048342,CC2D2A
ENSG00000166411,Idh3a
ENSG00000064726,BTBD1
ENSG00000074603,DPP8
ENSG00000074603,DPP8
ENSG00000140284,SLC27A2
ENSG00000100485,SOS2
ENSG00000100504,PYGL
ENSG00000133962,CATSPERB
ENSG00000196549,MME
ENSG00000114113,RBP2
ENSG00000051382,PIK3CB
ENSG00000163686,ABHD6
ENSG00000123146,CD97
ENSG00000005206,SPPL2B
ENSG00000064961,HMG20B
ENSG00000225697,SLC26A6
