"name_1006","freq","ensembl_gene_id","go_id","definition_1006","namespace_1003"
"anchoring junction",5,"ENSG00000163531","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix.","cellular_component"
"apoptotic process",4,"ENSG00000074603","GO:0006915","A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.","biological_process"
"ATP binding",14,"ENSG00000168872","GO:0005524","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.","molecular_function"
"axon",4,"ENSG00000163531","GO:0030424","The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter.","cellular_component"
"calcium ion binding",6,"ENSG00000162551","GO:0005509","Binding to a calcium ion (Ca2+).","molecular_function"
"cell-cell adhesion",4,"ENSG00000138448","GO:0098609","The attachment of one cell to another cell via adhesion molecules.","biological_process"
"cell adhesion",8,"ENSG00000051382","GO:0007155","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","biological_process"
"cell differentiation",12,"ENSG00000158161","GO:0030154","The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.","biological_process"
"cell projection",10,"ENSG00000173166","GO:0042995","A prolongation or process extending from a cell, e.g. a flagellum or axon.","cellular_component"
"cell surface",4,"ENSG00000196549","GO:0009986","The external part of the cell wall and/or plasma membrane.","cellular_component"
"centrosome",7,"ENSG00000116198","GO:0005813","A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle.","cellular_component"
"chromatin remodeling",7,"ENSG00000160469","GO:0006338","A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication.","biological_process"
"cilium",6,"ENSG00000048342","GO:0005929","A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body.","cellular_component"
"cytoplasm",51,"ENSG00000109339","GO:0005737","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.","cellular_component"
"cytoplasmic vesicle",5,"ENSG00000122012","GO:0031410","A vesicle found in the cytoplasm of a cell.","cellular_component"
"cytoskeleton",13,"ENSG00000154114","GO:0005856","A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.","cellular_component"
"cytosol",38,"ENSG00000074603","GO:0005829","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.","cellular_component"
"dendrite",5,"ENSG00000196549","GO:0030425","A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body.","cellular_component"
"DNA binding",5,"ENSG00000064961","GO:0003677","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).","molecular_function"
"early endosome",4,"ENSG00000177879","GO:0005769","A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways.","cellular_component"
"endoplasmic reticulum",9,"ENSG00000172893","GO:0005783","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).","cellular_component"
"endoplasmic reticulum lumen",4,"ENSG00000140284","GO:0005788","The volume enclosed by the membranes of the endoplasmic reticulum.","cellular_component"
"endoplasmic reticulum membrane",7,"ENSG00000146233","GO:0005789","The lipid bilayer surrounding the endoplasmic reticulum.","cellular_component"
"endosome",6,"ENSG00000136279","GO:0005768","A vacuole to which materials ingested by endocytosis are delivered.","cellular_component"
"extracellular exosome",10,"ENSG00000136279","GO:0070062","A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm.","cellular_component"
"extracellular region",16,"ENSG00000100504","GO:0005576","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.","cellular_component"
"extracellular space",8,"ENSG00000198734","GO:0005615","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.","cellular_component"
"ficolin-1-rich granule lumen",4,"ENSG00000136279","GO:1904813","Any membrane-enclosed lumen that is part of a ficolin-1-rich granule.","cellular_component"
"focal adhesion",5,"ENSG00000196549","GO:0005925","A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).","cellular_component"
"G protein-coupled receptor signaling pathway",5,"ENSG00000051382","GO:0007186","The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane.","biological_process"
"glutamatergic synapse",8,"ENSG00000136279","GO:0098978","A synapse that uses glutamate as a neurotransmitter.","cellular_component"
"Golgi apparatus",7,"ENSG00000136279","GO:0005794","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.","cellular_component"
"guanyl-nucleotide exchange factor activity",4,"ENSG00000119979","GO:0005085","Stimulates the exchange of GDP to GTP on a signaling GTPase, changing its conformation to its active form. Guanine nucleotide exchange factors (GEFs) act by stimulating the release of guanosine diphosphate (GDP) to allow binding of guanosine triphosphate (GTP), which is more abundant in the cell under normal cellular physiological conditions.","molecular_function"
"hydrolase activity",6,"ENSG00000152104","GO:0016787","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.","molecular_function"
"identical protein binding",8,"ENSG00000100504","GO:0042802","Binding to an identical protein or proteins.","molecular_function"
"immune response",4,"ENSG00000158270","GO:0006955","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.","biological_process"
"intracellular membrane-bounded organelle",8,"ENSG00000025423","GO:0043231","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.","cellular_component"
"lysosome",4,"ENSG00000152700","GO:0005764","A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions.","cellular_component"
"membrane",39,"ENSG00000184988","GO:0016020","A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.","cellular_component"
"metal ion binding",21,"ENSG00000138448","GO:0046872","Binding to a metal ion.","molecular_function"
